idx,symbol,industry,sector
545,SSRM,Gold,Basic Materials
546,SSP,Broadcasting,Communication Services
547,SSNC,Software - Application,Technology
548,SSM,Auto Manufacturers,Consumer Cyclical
549,SSII,Medical Devices,Healthcare
550,SSEA,Shell Companies,Financial Services
551,SSBI,Banks - Regional,Financial Services
552,SSACU,Shell Companies,Financial Services
553,SSAC,Shell Companies,Financial Services
554,SRZN,Biotechnology,Healthcare
555,SRTS,Medical Devices,Healthcare
556,SRTA,Medical Care Facilities,Healthcare
557,SRRK,Biotechnology,Healthcare
558,SRPT,Biotechnology,Healthcare
559,SRCE,Banks - Regional,Financial Services
560,SRBK,Banks - Regional,Financial Services
561,SRAD,Software - Application,Technology
562,SQFTP,REIT - Diversified,Real Estate
563,SQFT,REIT - Diversified,Real Estate
564,SPWR,Solar,Technology
565,SPWH,Specialty Retail,Consumer Cyclical
566,SPTX,Biotechnology,Healthcare
567,SPT,Software - Application,Technology
568,SPSC,Software - Application,Technology
569,SPRY,Biotechnology,Healthcare
570,SPRO,Biotechnology,Healthcare
571,SPRC,Biotechnology,Healthcare
572,SPRB,Biotechnology,Healthcare
573,SPPL,Specialty Industrial Machinery,Industrials
574,SPOK,Health Information Services,Healthcare
575,SPKL,Shell Companies,Financial Services
576,SPHL,Residential Construction,Consumer Cyclical
577,SPFI,Banks - Regional,Financial Services
578,SPEGU,Shell Companies,Financial Services
579,SPEG,Shell Companies,Financial Services
580,SPCX,Aerospace & Defense,Industrials
581,SPCB,Security & Protection Services,Industrials
582,SPAI,Aerospace & Defense,Industrials
583,SOWG,Confectioners,Consumer Defensive
584,SOUN,Software - Application,Technology
585,SOTK,Scientific & Technical Instruments,Technology
586,SORN,Shell Companies,Financial Services
587,SORA,Luxury Goods,Consumer Cyclical
588,SOPH,Health Information Services,Healthcare
589,SONO,Consumer Electronics,Technology
590,SONM,Capital Markets,Financial Services
591,SOLS,Specialty Chemicals,Basic Materials
592,SOHU,Electronic Gaming & Multimedia,Communication Services
593,SOGP,Internet Content & Information,Communication Services
594,SOFI,Credit Services,Financial Services
595,SOCA,Shell Companies,Financial Services
596,SOBR,Scientific & Technical Instruments,Technology
597,SNYR,Medical Distribution,Healthcare
598,SNY,Drug Manufacturers - General,Healthcare
599,SNWV,Medical Devices,Healthcare
600,SNTI,Biotechnology,Healthcare
601,SNTG,Credit Services,Financial Services
602,SNT,Security & Protection Services,Industrials
603,SNPS,Software - Infrastructure,Technology
604,SNOA,Drug Manufacturers - Specialty & Generic,Healthcare
605,SNGX,Biotechnology,Healthcare
606,SNFCA,Insurance - Life,Financial Services
607,SNEX,Capital Markets,Financial Services
608,SNES,Specialty Chemicals,Basic Materials
609,SNDX,Biotechnology,Healthcare
610,SNDL,Beverages - Wineries & Distilleries,Consumer Defensive
611,SNDK,Computer Hardware,Technology
612,SND,Oil & Gas Equipment & Services,Energy
613,SNAL,Electronic Gaming & Multimedia,Communication Services
614,SMXT,Solar,Technology
615,SMX,Specialty Business Services,Industrials
616,SMTK,Semiconductor Equipment & Materials,Technology
617,SMTI,Medical Instruments & Supplies,Healthcare
618,SMTC,Semiconductors,Technology
619,SMSI,Software - Application,Technology
620,SMPL,Packaged Foods,Consumer Defensive
621,SMMT,Biotechnology,Healthcare
622,SMID,Building Materials,Basic Materials
623,SMCIP,Computer Hardware,Technology
624,SMCI,Computer Hardware,Technology
625,SMBC,Banks - Regional,Financial Services
626,SLXN,Biotechnology,Healthcare
627,SLSN,Household & Personal Products,Consumer Defensive
628,SLS,Biotechnology,Healthcare
629,SLRC,Asset Management,Financial Services
630,SLP,Health Information Services,Healthcare
631,SLNHP,Capital Markets,Financial Services
632,SLNH,Capital Markets,Financial Services
633,SLNG,Oil & Gas Integrated,Energy
634,SLN,Biotechnology,Healthcare
635,SLMT,Software - Infrastructure,Technology
636,SLMBP,Credit Services,Financial Services
637,SLM,Credit Services,Financial Services
638,SLGL,Biotechnology,Healthcare
639,SLGB,Integrated Freight & Logistics,Industrials
640,SLE,Internet Content & Information,Communication Services
641,SLDP,Auto Parts,Consumer Cyclical
642,SLDE,Insurance - Property & Casualty,Financial Services
643,SLDB,Biotechnology,Healthcare
644,SLBT,Biotechnology,Healthcare
645,SLAB,Semiconductors,Technology
646,SKYX,Electrical Equipment & Parts,Industrials
647,SKYW,Airlines,Industrials
648,SKYQ,Oil & Gas Integrated,Energy
649,SKYE,Biotechnology,Healthcare
650,SKYA,Software - Infrastructure,Technology
651,SKWD,Insurance - Property & Casualty,Financial Services
652,SKK,Engineering & Construction,Industrials
653,SKIN,Household & Personal Products,Consumer Defensive
654,SKHY,Semiconductors,Technology
655,SJ,Internet Content & Information,Communication Services
656,SITM,Semiconductors,Technology
657,SIRI,Entertainment,Communication Services
658,SION,Biotechnology,Healthcare
